<<<<<<< HEAD
0.329495,0.00977611,-0.944107
0.343671,0.0168688,-0.938939
0.320099,0.0202868,-0.947167
0.359152,0.0234208,-0.932985
0.3317,-0.0283965,-0.942957
0.325453,0.00310964,-0.945553
0.33982,0.0178589,-0.940321
0.332236,0.0271731,-0.942805
0.343703,0.0139717,-0.938974
0.327051,0.0451491,-0.943928
0.344874,0.0188165,-0.93846
0.367388,0.0647787,-0.927809
0.405233,0.102927,-0.908401
0.382215,0.0808965,-0.920526
0.362574,0.0887723,-0.927717
0.362574,0.0887723,-0.927717
0.362574,0.0887723,-0.927717
0.362574,0.0887723,-0.927717
0.362574,0.0887723,-0.927717
0.362574,0.0887723,-0.927717
0.362574,0.0887723,-0.927717
=======
0,0,0
0,0,0
0,0,0
0.207126,0.204711,-0.956657
0.197313,0.197547,-0.960231
0.0133394,0.075689,-0.997042
0.152449,0.182229,-0.971366
0.0638999,0.135003,-0.988783
0.0336054,0.127511,-0.991268
0.0287447,0.117142,-0.992699
0.0263109,0.108793,-0.993716
-0.00949457,0.101045,-0.994837
-0.0112898,0.0918798,-0.995706
-0.0128625,0.0899839,-0.99586
-0.015856,0.0923064,-0.995604
-0.0165213,0.0954961,-0.995293
-0.0173548,0.0978387,-0.995051
-0.0186001,0.0981229,-0.995
-0.0196465,0.102308,-0.994559
-0.0216155,0.107864,-0.993931
-0.0214035,0.108192,-0.9939
-0.0180281,0.109859,-0.993784
-0.0191385,0.102529,-0.994546
-0.0165834,0.0990909,-0.99494
-0.0174965,0.0992188,-0.994912
-0.0187142,0.101309,-0.994679
-0.0225372,0.106923,-0.994012
-0.0243436,0.108285,-0.993822
-0.0248265,0.110279,-0.993591
-0.024233,0.107441,-0.993916
-0.0206463,0.103788,-0.994385
-0.0166301,0.0968459,-0.99516
-0.0160029,0.0951766,-0.995332
-0.0124626,0.0919573,-0.995685
-0.00737472,0.0894602,-0.995963
-0.00565228,0.0898357,-0.995941
-0.00427094,0.0914578,-0.9958
-0.00394985,0.092818,-0.995675
-0.00191244,0.0949063,-0.995484
-0.00180137,0.0936846,-0.9956
-8.89978e-06,0.0944505,-0.99553
0.002864,0.0956349,-0.995412
0.00252839,0.0940784,-0.995562
0.00343273,0.0936903,-0.995595
0.00434748,0.0940502,-0.995558
0.00512753,0.0927843,-0.995673
0.00577675,0.0928872,-0.99566
0.00594649,0.0930497,-0.995644
0.0054457,0.0948075,-0.995481
0.00491441,0.0957521,-0.995393
0.00472237,0.0967017,-0.995302
0.00476979,0.0960288,-0.995367
0.00574513,0.094126,-0.995544
0.00777537,0.0957513,-0.995375
0.00679511,0.0951675,-0.995438
0.00518988,0.0973475,-0.995237
0.00383068,0.0971814,-0.995259
0.00317343,0.0996844,-0.995014
