-125.192, 114.498, 678.686, -0.419238, -0.162685, -0.0212807
-124.771, 114.165, 674.53, -0.404369, -0.171278, -0.0191687
-124.611, 114.321, 672.865, -0.403633, -0.16009, -0.015142
-125.349, 115.49, 676.058, -0.389834, -0.161711, -0.0165145
-126.061, 117.175, 677.007, -0.380852, -0.147818, -0.0119079
-126.529, 117.647, 677.72, -0.36566, -0.148551, -0.00503254
-126.256, 116.952, 672.807, -0.356166, -0.14748, -0.009021
-126.656, 118.083, 671.535, -0.346578, -0.136556, -0.00629258
-126.802, 119.126, 671.342, -0.319375, -0.148615, -0.00230832
-126.433, 119.566, 667.474, -0.329871, -0.141246, -0.007612
-127.146, 121.287, 670.443, -0.306768, -0.142003, -0.00390377
-125.569, 121.57, 665.199, -0.289262, -0.159682, -0.00815207
-124.378, 126.256, 657.988, -0.245071, -0.154705, -0.00365865
-123.125, 128.489, 652.857, -0.217939, -0.170114, 0.0075223
-122.924, 130.94, 652.26, -0.17026, -0.172287, 0.0241075
-121.797, 132.302, 648.638, -0.150755, -0.182985, 0.0307259
-120.825, 134.131, 649.793, -0.120542, -0.208691, 0.0368011
-118.981, 134.585, 644.017, -0.116351, -0.22513, 0.0377348
-117.858, 135.471, 639.48, -0.0784167, -0.223876, 0.0393601
-116.968, 136.108, 633.856, -0.0624905, -0.213957, 0.0385381
-115.642, 139.131, 624.852, -0.00570403, -0.207755, 0.0388161
-114.036, 138.967, 615.448, 0.0859803, -0.205686, 0.0489509
-113.225, 139.13, 609.404, 0.0919242, -0.197289, 0.0453642
-113.006, 141.04, 603.089, 0.10852, -0.191687, 0.0479105
-112.199, 141.08, 597.707, 0.12411, -0.196674, 0.0475181
-112.5, 142.438, 597.726, 0.12975, -0.20174, 0.0543231
-112.158, 143.578, 595.629, 0.153199, -0.212862, 0.0600635
-112.64, 145.469, 594.146, 0.141458, -0.205423, 0.0533702
-112.808, 147.361, 587.066, 0.168414, -0.213159, 0.0514383
-114.417, 148.024, 585.758, 0.169584, -0.210675, 0.0489085
